SimulationID,Player1Hand,Player2Hand,GameStage,CommunityCards,P1Win_Map,P2Win_Map,Tie_Map,Time_Map,P1Win_Hash,P2Win_Hash,Tie_Hash,Time_Hash
627,"5h 4d ","Ac 9c ",river,"8s 3h 6d 2c 10s ",100,0,0,2,100,0,0,3
628,"6h 4h ","8d 3c ",turn,"8c Js 7d Jc ",7,93,0,3,11,89,0,3
629,"Kd Qh ","2d 6d ",flop,"Qc 2s Ah ",73,27,0,3,79,21,0,3
630,"5h 7d ","9d Kc ",turn,"7c Ac Js 2h ",87,13,0,3,77,23,0,3
631,"6c 5c ","Ks 6h ",river,"Ah 4s 2c 4d 9s ",0,100,0,3,0,100,0,3
632,"7h 3h ","Qc 7c ",turn,"7d 4h 9c 8c ",4,95,1,3,3,96,1,3
633,"9c 8c ","3h 6h ",preflop,"",64,30,6,3,64,33,3,3
634,"Kc 2d ","Jd As ",turn,"2h Kh 9d 2s ",100,0,0,3,100,0,0,3
635,"2s Qc ","Ah 10s ",river,"Js Qd 3s Ks 8s ",0,100,0,3,0,100,0,3
636,"Ac Qc ","Jc 8d ",river,"8s 9d 5d 2d 3s ",0,100,0,3,0,100,0,3
637,"9h 4d ","Qd Ah ",turn,"Kd Ad 7d 5s ",0,100,0,3,0,100,0,3
638,"2h 10h ","7s Jd ",river,"Kh Ah Qc Kd Qd ",0,0,100,3,0,0,100,3
639,"9d 6c ","2d 10h ",river,"7c Js 5s 4h 5h ",0,100,0,3,0,100,0,3
640,"9s 3s ","7c 6h ",flop,"Kc 8s 7s ",42,58,0,3,42,58,0,3
641,"6d 10s ","Qd 4c ",flop,"9s 2s Ks ",54,45,1,3,56,44,0,3
642,"6s Jc ","8s Js ",turn,"4h 8c Ac 3d ",0,100,0,3,0,100,0,3
643,"Jc Qh ","8h 9d ",preflop,"",61,35,4,3,65,32,3,3
644,"4h 5h ","9c 3d ",river,"10c 7s 8c Ad 3c ",0,100,0,3,0,100,0,3
645,"10s Qd ","Jd 6h ",river,"8c 6d 2d Ah Qs ",100,0,0,2,100,0,0,3
646,"Qc 5c ","3d 9h ",river,"Jd 5h Qh As Js ",100,0,0,3,100,0,0,3
647,"Jh Ac ","10h 3d ",flop,"8s Kd 4d ",71,29,0,3,72,26,2,3
648,"Ad Js ","Kh 9d ",preflop,"",64,35,1,3,61,39,0,3
649,"8c 2s ","7h Ac ",turn,"Ad 6d 9d 4d ",0,83,17,3,0,79,21,3
650,"Kd 9d ","6s Qc ",turn,"3d Ah Kh 10d ",97,3,0,3,90,10,0,3
651,"2s Kd ","10s Ad ",flop,"2d 5h Qd ",75,25,0,3,65,35,0,3
652,"Kd Qd ","4c Qc ",flop,"10s 5h 7c ",74,25,1,3,82,17,1,3
653,"Qh 7d ","9d 2c ",river,"6h Ah 8s 3d 7c ",100,0,0,3,100,0,0,3
654,"9c 10d ","3h 4d ",preflop,"",68,30,2,3,68,31,1,3
655,"6c 7d ","6d Qs ",flop,"5h 7h 8d ",62,10,28,2,59,10,31,3
656,"9d 8s ","10d 7h ",preflop,"",43,54,3,2,41,58,1,3
657,"Qs 2s ","Ad 4h ",river,"5c 3s Jc Ac 4s ",100,0,0,2,100,0,0,3
658,"Jh 9h ","2d 5d ",flop,"4s 3c 2c ",15,82,3,3,27,71,2,3
659,"5d 2d ","3c 7d ",flop,"Ad Qc As ",31,38,31,3,31,33,36,3
660,"10d Ac ","3s 7h ",river,"9s Qh Kd 9c 3h ",0,100,0,3,0,100,0,3
661,"As Kh ","Ks 7h ",flop,"9s 5c 10d ",83,17,0,3,88,11,1,3
662,"Qc 6c ","8d 6d ",river,"3c 4c 8c Kd Qd ",100,0,0,3,100,0,0,3
663,"Jd Ks ","2s 3s ",flop,"2d 3d 10d ",34,66,0,3,36,64,0,3
664,"Ad 3d ","Jc 8s ",turn,"3h Js Qd 3s ",95,5,0,3,95,5,0,3
665,"Jc 5d ","Ks 9c ",preflop,"",33,64,3,3,35,65,0,3
666,"2c 2d ","9h 5d ",preflop,"",52,45,3,3,54,44,2,3
667,"Kc Ks ","7c Ad ",preflop,"",64,36,0,3,71,28,1,3
668,"2h As ","6c 10d ",flop,"Kd 3d 4c ",76,22,2,3,77,23,0,3
669,"6d 4s ","2h Jc ",river,"Qh As 5d 10d 9c ",0,100,0,3,0,100,0,3
670,"8s 9s ","Qs Ah ",turn,"4h 2d As Kc ",0,100,0,3,0,100,0,3
671,"5d Ah ","Qh 6s ",turn,"7s Kd 2c 8h ",81,19,0,3,84,16,0,3
672,"7d As ","Qc 10c ",flop,"4c 7c 10d ",15,85,0,3,21,79,0,3
673,"Jc Ac ","8c 3h ",flop,"Js Kc 4d ",99,1,0,3,98,2,0,3
674,"Qh 2s ","4d Js ",turn,"9s 7d 9c 10s ",68,29,3,3,79,18,3,3
675,"9h 10c ","8c Qd ",preflop,"",49,50,1,3,32,63,5,3
676,"3s 10c ","4h 2s ",river,"9d 5c 5s Qc Jh ",100,0,0,3,100,0,0,3
677,"2d 8h ","2h 9h ",flop,"6c 6h 5h ",13,70,17,3,8,70,22,3
678,"Qd 9s ","As Jh ",river,"Js 8c Ah Qs 10d ",100,0,0,3,100,0,0,3
679,"Kh Qs ","10c 10d ",flop,"8d Qd 4c ",83,17,0,3,84,16,0,3
680,"2h 5h ","Qh 4s ",turn,"7d Jc 5c Jh ",85,15,0,3,89,11,0,3
681,"6c 8d ","Ah Kh ",preflop,"",25,72,3,2,33,64,3,3
682,"9h 6s ","Qh 8d ",preflop,"",33,66,1,2,43,56,1,3
683,"Qh 9s ","Ac 4h ",river,"4c Kd 9h 7d 8d ",100,0,0,3,100,0,0,3
684,"6s 10c ","Jd 8h ",flop,"4c 9h Jc ",14,86,0,3,19,81,0,3
685,"9s 8d ","Kc Ks ",river,"Qc Qh 2d 3s 6h ",0,100,0,3,0,100,0,3
686,"4c 4s ","7c 7h ",river,"7d 3h 9s 8h Jc ",0,100,0,2,0,100,0,3
687,"Qc Kd ","2d 4s ",flop,"Ac Kh 6h ",97,3,0,3,98,2,0,3
688,"6h 7d ","7s 9c ",turn,"Qc 2d Ac 8h ",3,97,0,3,6,94,0,3
689,"10h 8c ","2c 9d ",turn,"Kc 6h Jc Js ",74,18,8,3,76,14,10,3
690,"10h As ","Kh 6d ",turn,"7h Qc 7d 10s ",91,9,0,3,89,11,0,3
691,"4c Jd ","6s 4d ",river,"4s 6d Ac 7h 9c ",0,100,0,3,0,100,0,3
692,"8d 2s ","Ks 3c ",flop,"2h 8s 4s ",89,11,0,3,91,9,0,3
693,"4s 4c ","10d Kd ",flop,"3s 4d Qs ",100,0,0,2,100,0,0,3
694,"6h Ks ","4s 3d ",river,"Qd 3c 3s 8c 7c ",0,100,0,2,0,100,0,3
695,"9d 4h ","9c Ac ",preflop,"",21,74,5,2,20,72,8,3
696,"3h 9s ","2c 3s ",flop,"8d 10h Qd ",84,10,6,3,77,8,15,3
697,"Kd 2h ","8c 10d ",preflop,"",50,48,2,3,48,48,4,3
698,"Ah 4d ","6h Qc ",river,"Qh 3c 9h 6s 5c ",0,100,0,3,0,100,0,3
699,"Qs 4c ","9h 5s ",turn,"8d 3s 2d 4s ",73,27,0,3,74,26,0,3
700,"Jh 5d ","6c 3h ",flop,"Ad 7d 4d ",77,22,1,3,83,15,2,3
701,"2s 10s ","6c 7s ",flop,"Qc Qh Jc ",63,23,14,3,65,22,13,3
702,"4c 6s ","9s 2d ",preflop,"",39,54,7,3,42,52,6,3
703,"9h 8h ","3s 4c ",preflop,"",67,30,3,3,68,32,0,3
704,"Ad 3h ","7h 9h ",river,"Js Jc 7s 9c Qd ",0,100,0,3,0,100,0,3
705,"2h 8d ","10h 4h ",flop,"6s 6h Jd ",18,59,23,3,17,68,15,3
706,"2d 6h ","8d 3c ",river,"7c Kh Ac 3s 8h ",0,100,0,3,0,100,0,3
707,"3c 2d ","5d 5s ",turn,"4d Qs 10h Qh ",0,100,0,3,0,100,0,3
708,"5s Jh ","10h 4c ",river,"5c 2s 7s As 2d ",100,0,0,3,100,0,0,3
709,"4c 8c ","Ah 6s ",flop,"Jh Jd 5c ",22,73,5,3,25,71,4,3
710,"5s Qc ","7s 8h ",turn,"6h 5d 9d Ac ",4,96,0,3,3,97,0,3
711,"8c 9d ","7h 5d ",turn,"4s 2s 10c 5h ",10,90,0,3,10,90,0,3
712,"2s 5d ","3s 4s ",flop,"Ah Jh Ad ",18,21,61,3,25,18,57,3
713,"Kd Ac ","4h 6c ",river,"As 8c 7c 5h 8h ",0,100,0,3,0,100,0,3
714,"4h 5s ","2h 6h ",preflop,"",41,44,15,3,27,56,17,3
715,"6c 2h ","Jd 8c ",preflop,"",32,65,3,2,31,66,3,3
716,"6c Jc ","Qh 7h ",turn,"Ah Qs 7d 10c ",3,97,0,3,13,87,0,3
717,"Jd 5h ","Qs 8c ",preflop,"",45,54,1,2,38,61,1,3
718,"7h Ad ","3d 7c ",river,"10d Qc 7d 9s Jd ",100,0,0,3,100,0,0,3
719,"3h Jd ","10c 3c ",flop,"Qh Qd Qc ",17,13,70,2,15,13,72,2
720,"Jh 5c ","6h 9s ",preflop,"",51,45,4,2,63,32,5,3
